Sentence, Probility
黑 太岁 ,0.01917808219178082
 那些 住 在 青岛 而且 经常 关注 本地 新闻 的 人 可能 听说 过 我要 提起 的 这件 事情 ,6.962009566395962e-39
 2013 年 8 月 14 日 ,8.932825756216821e-07
 市 南 区 大学 路 居委会 的 工作人员 在 进行 消防 安全 检查 的 时 意 外地 在 隆 口 路 5 号 大院 里 的 一座 小楼 中 发现 了 一具 已经 高度 腐烂 的 尸体 ,4.531010650523942e-74
 接到 报案 后 ,0.009623567921440262
 江苏 路 派出所 立刻 出动 警 力 封锁 了 现场 ,8.666022914244083e-16
 并 展开 了 详细 的 调查 取证 工作 ,5.033795682302154e-15
 此 案 的 初步 调查结果 全都 公布 在 了 几家 青岛 本地 的 报 纸上 ,2.3685417550046404e-28
 并 不难 查到 ,9.328891004283675e-05
 概括 地说 ,0.055999999999999994
 死者 名叫 劳 铭 昌 ,0.00024070175438596481
 69 岁 ,1.4
 是 那座 房子 的 住户 ,3.460315552493703e-11
 警方 在 进行 现场 勘 验 时 没有 发现 任何 暴力 入侵 的 痕迹 ,1.0908403221976844e-25
 财物 也 没有 丢失 ,2.5683229729104206e-06
 因此 初步 断定 系 自然 死亡 ,5.28471396485665e-09
 但 那些 有 机会 详细 阅读 调查 案卷 的 工作人员 ,2.045914734408002e-20
 或是 居住 在 隆 口 路 一带 ,2.752993349612903e-11
 听过 些 流言蜚语 的 人 ,1.9126521942747712e-05
 可能 会 发现 案件 中 还 存有 一些 古怪 的 地方 ,1.6103785040254395e-20
 根据 案卷 的 记录 ,3.742981772770014e-07
 死者 是 在 一楼 客厅 里 发现 的 ,4.9113430808497014e-12
 但 整个 小楼 里 都 充满 了 一种 令人作呕 的 恶臭 ,6.574871015683976e-22
 现场 的 情况 非常 骇人 ,7.811238101212395e-10
 尸体 几乎 腐烂 成 了 一滩 黑色 的 黏液 ,8.246390889487245e-16
 只能 依照 骨头 勉强 地 看出 个 人形 来 ,1.2031390784501534e-15
 照 常理 推断 ,0.020416666666666663
 这种 程度 的 腐烂 肯定 需要 花费 数 周到 数月 的 时间 ,2.045588468629628e-21
 但 附近 的 居民 们 在 接受 警方 问询 时 纷纷 表示 自己 在 尸体 被 发现 的 前 几天 还 曾 见过 劳 铭 昌 ,4.880771846403843e-51
 甚至 还 和 他 说 过 话 ,9.429858811929575e-14
 进一步 的 尸检 也 佐证 了 居民 的 证词 — — 尸体 上 没有 蝇 类 幼虫 滋生 的 迹象 ,2.5647804658116606e-38
 这 意味着 死者 的 真实 死亡 时间 要 比 看上去 短 得 多 ,5.683579496619732e-25
 鉴定 报告 指出 ,0.00055893536121673
 由于 尸体 的 状况 非常 糟糕 ,6.13023574558401e-12
 因此 无从 推断 确切 的 死因 ； 但 现场 收集 到 的 骨骼 上 没有 发现 外力 导致 的 创伤 ,9.299146602814184e-39
 因此 一定 程度 上 否定 了 暴力 致死 的 可能 ,7.513805739449398e-19
 法医 也 分析 了 从 尸体 上 采集 到 的 黑色 黏液 ,1.947741562586591e-25
 并且 确定 它们 是 体液 与 尸体 器官 液化 后 的 混合物 ,1.1931518882155857e-21
